word	true_class	pred_class
Coreia	B-ORGANIZACAO	B-LOCAL
Polônia	B-ORGANIZACAO	B-LOCAL
Portugal	B-ORGANIZACAO	B-LOCAL
Itália	B-ORGANIZACAO	B-LOCAL
Espanha	B-ORGANIZACAO	B-LOCAL
Japão	B-ORGANIZACAO	B-LOCAL
Países	B-ORGANIZACAO	B-LOCAL
Baixos	I-ORGANIZACAO	I-LOCAL
2000	B-TEMPO	O
de	O	I-LOCAL
São	B-LOCAL	I-LOCAL
Cristianismo	B-ORGANIZACAO	O
25	B-TEMPO	O
de	I-TEMPO	O
Abril	I-TEMPO	O
Irlanda	B-ORGANIZACAO	B-LOCAL
do	I-ORGANIZACAO	I-LOCAL
Norte	I-ORGANIZACAO	I-LOCAL
Reino	B-ORGANIZACAO	B-LOCAL
Unido	I-ORGANIZACAO	I-LOCAL
revista	B-ORGANIZACAO	O
For	I-ORGANIZACAO	B-ORGANIZACAO
##bes	I-ORGANIZACAO	B-ORGANIZACAO
China	B-ORGANIZACAO	B-LOCAL
China	B-ORGANIZACAO	B-LOCAL
Luxemburgo	B-ORGANIZACAO	B-LOCAL
Suíça	B-ORGANIZACAO	B-LOCAL
Suíça	B-ORGANIZACAO	B-LOCAL
Princip	B-ORGANIZACAO	B-LOCAL
##ado	B-ORGANIZACAO	B-LOCAL
do	I-ORGANIZACAO	I-LOCAL
M	I-ORGANIZACAO	I-LOCAL
##ón	I-ORGANIZACAO	I-LOCAL
##ac	I-ORGANIZACAO	I-LOCAL
##o	I-ORGANIZACAO	I-LOCAL
M	B-ORGANIZACAO	B-LOCAL
##ôn	B-ORGANIZACAO	B-LOCAL
##ac	B-ORGANIZACAO	B-LOCAL
##o	B-ORGANIZACAO	B-LOCAL
Dinamarca	B-ORGANIZACAO	B-LOCAL
Dinamarca	B-ORGANIZACAO	B-LOCAL
Noruega	B-ORGANIZACAO	B-LOCAL
Estados	B-ORGANIZACAO	B-LOCAL
Unidos	I-ORGANIZACAO	I-LOCAL
Japão	B-ORGANIZACAO	B-LOCAL
San	B-ORGANIZACAO	B-LOCAL
Mar	I-ORGANIZACAO	I-LOCAL
##ino	I-ORGANIZACAO	I-LOCAL
Reino	B-ORGANIZACAO	B-LOCAL
Unido	I-ORGANIZACAO	I-LOCAL
república	O	B-LOCAL
da	O	I-LOCAL
Trans	B-LOCAL	I-LOCAL
##n	B-LOCAL	I-LOCAL
##ís	B-LOCAL	I-LOCAL
##tria	B-LOCAL	I-LOCAL
Irã	B-ORGANIZACAO	B-LOCAL
##o	B-ORGANIZACAO	B-LOCAL
EUA	B-ORGANIZACAO	B-LOCAL
de	I-TEMPO	B-TEMPO
Ira	O	I-ORGANIZACAO
##nia	O	I-ORGANIZACAO
##na	O	I-ORGANIZACAO
República	B-LOCAL	B-ORGANIZACAO
Socialista	I-LOCAL	I-ORGANIZACAO
Soviética	I-LOCAL	I-ORGANIZACAO
Ca	I-LOCAL	I-ORGANIZACAO
sete	B-ORGANIZACAO	O
Emira	I-ORGANIZACAO	B-LOCAL
##dos	I-ORGANIZACAO	B-LOCAL
,	O	I-TEMPO
ano	B-TEMPO	I-TEMPO
B	B-LOCAL	B-ORGANIZACAO
##A	B-LOCAL	B-ORGANIZACAO
##4	B-LOCAL	B-ORGANIZACAO
Processo	B-ORGANIZACAO	O
de	I-ORGANIZACAO	O
Re	I-ORGANIZACAO	O
##organ	I-ORGANIZACAO	O
##ização	I-ORGANIZACAO	O
Nacional	I-ORGANIZACAO	O
Ainda	O	B-TEMPO
do	O	I-LOCAL
Banco	B-ORGANIZACAO	I-LOCAL
Boa	I-ORGANIZACAO	I-LOCAL
##vista	I-ORGANIZACAO	I-LOCAL
Iugoslávia	B-ORGANIZACAO	B-LOCAL
Som	B-ORGANIZACAO	B-LOCAL
##ália	B-ORGANIZACAO	B-LOCAL
Britânica	I-ORGANIZACAO	I-LOCAL
Estado	B-ORGANIZACAO	B-LOCAL
da	O	I-LOCAL
Som	B-LOCAL	I-LOCAL
##ali	B-LOCAL	I-LOCAL
##lândia	B-LOCAL	I-LOCAL
Em	O	B-TEMPO
julho	O	I-TEMPO
Reino	B-ORGANIZACAO	B-LOCAL
sueco	I-ORGANIZACAO	I-LOCAL
estado	O	B-LOCAL
do	O	I-LOCAL
1500	B-TEMPO	O
160	B-TEMPO	O
##9	B-TEMPO	O
República	B-LOCAL	B-ORGANIZACAO
da	O	I-LOCAL
Costa	B-LOCAL	I-LOCAL
Estado	B-ORGANIZACAO	O
República	B-ORGANIZACAO	B-LOCAL
Popular	I-ORGANIZACAO	I-LOCAL
da	I-ORGANIZACAO	I-LOCAL
China	I-ORGANIZACAO	I-LOCAL
Bourbon	B-ORGANIZACAO	B-LOCAL
Shopping	I-ORGANIZACAO	I-LOCAL
Country	I-ORGANIZACAO	I-LOCAL
Barra	B-ORGANIZACAO	B-LOCAL
##Sh	B-ORGANIZACAO	B-LOCAL
##op	B-ORGANIZACAO	B-LOCAL
##ping	B-ORGANIZACAO	B-LOCAL
Sul	I-ORGANIZACAO	I-LOCAL
Bourbon	B-ORGANIZACAO	B-LOCAL
Shopping	I-ORGANIZACAO	I-LOCAL
Ip	I-ORGANIZACAO	I-LOCAL
##ira	I-ORGANIZACAO	I-LOCAL
##nga	I-ORGANIZACAO	I-LOCAL
Alemanha	B-LOCAL	B-ORGANIZACAO
para	B-TEMPO	O
36	I-TEMPO	O
##8	I-TEMPO	O
##8	I-TEMPO	O
para	B-TEMPO	O
110	I-TEMPO	O
##8	I-TEMPO	O
desta	O	B-TEMPO
época	O	I-TEMPO
Guerra	B-ORGANIZACAO	O
Crist	I-ORGANIZACAO	O
##era	I-ORGANIZACAO	O
período	O	I-TEMPO
##PR	O	B-ORGANIZACAO
##PR	O	B-ORGANIZACAO
##P	O	B-ORGANIZACAO
+	O	B-ORGANIZACAO
DE	O	B-ORGANIZACAO
##T	O	B-ORGANIZACAO
liber	O	I-ORGANIZACAO
##iano	O	I-ORGANIZACAO
revista	B-ORGANIZACAO	O
British	I-ORGANIZACAO	B-ORGANIZACAO
Países	B-LOCAL	O
época	O	I-TEMPO
Rem	O	B-PESSOA
##bra	O	B-PESSOA
##nd	O	B-PESSOA
##t	O	B-PESSOA
K	I-ORGANIZACAO	B-ORGANIZACAO
##lic	I-ORGANIZACAO	B-ORGANIZACAO
##k	I-ORGANIZACAO	B-ORGANIZACAO
equ	O	I-LOCAL
##ator	O	I-LOCAL
e	I-ORGANIZACAO	O
médicos	I-ORGANIZACAO	O
dos	O	I-ORGANIZACAO
EUA	B-LOCAL	I-ORGANIZACAO
no	O	B-TEMPO
último	O	I-TEMPO
dia	O	I-TEMPO
três	O	B-TEMPO
dias	O	I-TEMPO
úteis	O	I-TEMPO
Diário	O	B-ORGANIZACAO
da	O	I-ORGANIZACAO
Justiça	B-ORGANIZACAO	I-ORGANIZACAO
antes	O	B-TEMPO
ter	O	B-TEMPO
##ça	O	B-TEMPO
quarta	O	B-TEMPO
jornal	B-ORGANIZACAO	O
O	I-ORGANIZACAO	B-ORGANIZACAO
Até	O	B-TEMPO
esta	O	I-TEMPO
data	O	I-TEMPO
de	B-TEMPO	O
um	I-TEMPO	O
a	I-TEMPO	O
Social	O	I-ORGANIZACAO
de	O	I-ORGANIZACAO
Em	O	I-ORGANIZACAO
##erg	O	I-ORGANIZACAO
##ência	O	I-ORGANIZACAO
UR	O	B-ORGANIZACAO
##V	O	B-ORGANIZACAO
B	B-ORGANIZACAO	O
##BS	B-ORGANIZACAO	O
Bull	B-ORGANIZACAO	O
##et	B-ORGANIZACAO	O
##in	B-ORGANIZACAO	O
Boa	I-ORGANIZACAO	O
##rd	I-ORGANIZACAO	O
System	I-ORGANIZACAO	O
##s	I-ORGANIZACAO	O
B	B-ORGANIZACAO	O
##BS	B-ORGANIZACAO	O
a	B-TEMPO	O
partir	I-TEMPO	O
das	I-TEMPO	O
Brasil	B-LOCAL	O
biblioteca	B-LOCAL	O
do	I-LOCAL	O
Mas	I-LOCAL	B-ORGANIZACAO
