word	true_class	pred_class
parte	O	B-FUNDprojetodelei
Administração	O	B-ORGpartido
Pública	O	I-ORGpartido
Conselho	O	B-ORGpartido
Federal	O	I-ORGpartido
Conselho	O	B-ORGpartido
##s	O	B-ORGpartido
Sec	O	I-ORGpartido
##cionais	O	I-ORGpartido
1995	B-DATA	I-DATA
	O	B-DATA
de	O	I-DATA
janeiro	O	I-DATA
das	O	I-PRODUTOsistema
pessoas	O	I-PRODUTOsistema
físicas	O	I-PRODUTOsistema
imposto	O	B-PRODUTOsistema
inf	O	I-PRODUTOsistema
##la	O	I-PRODUTOsistema
##cion	O	I-PRODUTOsistema
##ário	O	I-PRODUTOsistema
2016	B-DATA	I-PRODUTOsistema
(	B-FUNDprojetodelei	O
Lei	I-FUNDprojetodelei	B-FUNDprojetodelei
IP	O	B-PRODUTOsistema
##CA	O	B-PRODUTOsistema
1995	B-DATA	O
de	I-PRODUTOsistema	O
1996	B-DATA	O
1997	B-DATA	O
1998	B-DATA	O
imposto	O	B-PRODUTOsistema
inf	O	I-PRODUTOsistema
##la	O	I-PRODUTOsistema
##cion	O	I-PRODUTOsistema
##ário	O	I-PRODUTOsistema
Regimento	B-FUNDprojetodelei	O
Inter	I-FUNDprojetodelei	O
##no	I-FUNDprojetodelei	O
da	I-FUNDprojetodelei	O
Câmara	I-FUNDprojetodelei	I-ORGpartido
dos	I-FUNDprojetodelei	I-ORGpartido
Deputados	I-FUNDprojetodelei	I-ORGpartido
Câmara	O	B-ORGpartido
Ed	O	B-PESSOAindividual
##na	O	B-PESSOAindividual
Henrique	O	I-PESSOAindividual
C	O	B-ORGpartido
##Â	O	B-ORGpartido
##MA	O	B-ORGpartido
##RA	O	B-ORGpartido
DO	O	I-ORGpartido
##S	O	I-ORGpartido
DE	O	I-ORGpartido
##P	O	I-ORGpartido
##UT	O	I-ORGpartido
##AD	O	I-ORGpartido
##OS	O	I-ORGpartido
empresários	B-PESSOAindividual	O
Dis	O	B-LOCALvirtual
##que	O	B-LOCALvirtual
100	B-LOCALvirtual	I-LOCALvirtual
(	O	I-PESSOAindividual
Cidad	B-ORGpartido	I-PESSOAindividual
##ania	B-ORGpartido	I-PESSOAindividual
de	I-PESSOAindividual	O
segurança	I-PESSOAindividual	O
pública	I-PESSOAindividual	O
da	I-PESSOAindividual	I-ORGpartido
Justiça	I-PESSOAindividual	I-ORGpartido
e	I-PESSOAindividual	I-ORGpartido
Segurança	I-PESSOAindividual	I-ORGpartido
Pública	I-PESSOAindividual	I-ORGpartido
profissionais	B-PESSOAindividual	O
de	I-PESSOAindividual	O
segurança	I-PESSOAindividual	O
pública	I-PESSOAindividual	O
Mor	O	I-PESSOAindividual
##o	O	B-PESSOAindividual
de	I-FUNDprojetodelei	O
Contas	I-FUNDprojetodelei	O
-	I-FUNDprojetodelei	O
0	I-FUNDprojetodelei	O
Ac	B-FUNDprojetodelei	O
##ór	B-FUNDprojetodelei	O
##dão	B-FUNDprojetodelei	O
	I-FUNDprojetodelei	O
52	I-FUNDprojetodelei	O
##4	I-FUNDprojetodelei	O
/	I-FUNDprojetodelei	O
2014	I-FUNDprojetodelei	O
-	I-FUNDprojetodelei	O
T	I-FUNDprojetodelei	B-ORGpartido
##C	I-FUNDprojetodelei	B-ORGpartido
##U	I-FUNDprojetodelei	B-ORGpartido
-	I-FUNDprojetodelei	O
Ple	I-FUNDprojetodelei	O
##nário	I-FUNDprojetodelei	O
/	I-PRODUTOsistema	B-PRODUTOsistema
FA	I-PRODUTOsistema	B-PRODUTOsistema
##R	I-PRODUTOsistema	B-PRODUTOsistema
unidade	B-PRODUTOsistema	O
básica	I-PRODUTOsistema	O
de	I-PRODUTOsistema	O
saúde	I-PRODUTOsistema	O
profissionais	B-PESSOAindividual	O
de	I-PESSOAindividual	O
segurança	I-PESSOAindividual	O
pública	I-PESSOAindividual	O
governo	O	B-ORGpartido
policiais	I-LOCALvirtual	I-PESSOAindividual
garantir	I-LOCALvirtual	O
segura	I-LOCALvirtual	O
##nca	I-LOCALvirtual	O
art	B-FUNDprojetodelei	O
##s	B-FUNDprojetodelei	O
.	I-FUNDprojetodelei	O
16	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
17	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
18	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
28	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
29	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
30	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
31	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
32	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
33	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
34	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
35	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
36	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
37	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
38	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
39	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
40	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
52	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
54	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
64	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
66	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
artigos	O	B-FUNDprojetodelei
da	O	B-FUNDprojetodelei
Ordem	B-ORGpartido	B-PRODUTOsistema
	I-ORGpartido	O
Região	I-ORGpartido	O
2001	O	B-DATA
.	B-DATA	I-DATA
09	B-DATA	I-DATA
.	B-DATA	I-DATA
2004	B-DATA	I-DATA
M	B-PESSOAindividual	O
##Ú	B-PESSOAindividual	O
##S	B-PESSOAindividual	O
##IC	B-PESSOAindividual	O
##O	B-PESSOAindividual	O
,	I-FUNDprojetodelei	O
no	I-FUNDprojetodelei	O
art	I-FUNDprojetodelei	O
.	I-FUNDprojetodelei	O
	I-FUNDprojetodelei	O
,	I-FUNDprojetodelei	O
XIII	I-FUNDprojetodelei	O
	I-ORGpartido	O
Região	I-ORGpartido	O
Federal	O	I-PESSOAindividual
João	B-PESSOAindividual	I-PESSOAindividual
.	B-DATA	I-DATA
02	B-DATA	I-DATA
.	B-DATA	I-DATA
2003	B-DATA	I-DATA
fiscais	O	B-PESSOAindividual
da	O	B-ORGpartido
fiscais	O	B-PESSOAindividual
fiscais	O	B-PESSOAindividual
da	I-PESSOAindividual	I-ORGpartido
República	I-PESSOAindividual	I-ORGpartido
Arg	O	B-PRODUTOsistema
##ui	O	B-PRODUTOsistema
##ção	O	B-PRODUTOsistema
##mp	O	I-PRODUTOsistema
##rimento	O	I-PRODUTOsistema
de	O	I-PRODUTOsistema
Pre	O	I-PRODUTOsistema
##ce	O	I-PRODUTOsistema
##ito	O	I-PRODUTOsistema
Funda	O	I-PRODUTOsistema
##mental	O	I-PRODUTOsistema
(	O	I-PRODUTOsistema
D	O	I-PRODUTOsistema
##P	O	I-PRODUTOsistema
##F	O	I-PRODUTOsistema
)	O	I-PRODUTOsistema
agentes	O	B-PESSOAindividual
Executivo	I-PESSOAindividual	I-ORGpartido
ex	B-FUNDprojetodelei	O
vi	I-FUNDprojetodelei	O
artigo	I-FUNDprojetodelei	B-FUNDprojetodelei
##rei	I-PESSOAindividual	O
Con	B-PESSOAindividual	O
##gress	B-PESSOAindividual	O
##istas	B-PESSOAindividual	O
Federal	B-PESSOAindividual	I-PESSOAindividual
L	I-PESSOAindividual	B-PESSOAindividual
##U	I-PESSOAindividual	B-PESSOAindividual
##I	I-PESSOAindividual	B-PESSOAindividual
##Z	I-PESSOAindividual	B-PESSOAindividual
Livro	O	B-FUNDprojetodelei
dos	O	I-PRODUTOsistema
Espírito	O	I-PRODUTOsistema
##s	O	I-PRODUTOsistema
Imp	O	B-PRODUTOsistema
##osto	O	B-PRODUTOsistema
sobre	O	I-PRODUTOsistema
a	O	I-PRODUTOsistema
Pro	B-PRODUTOsistema	I-PRODUTOsistema
##pri	B-PRODUTOsistema	I-PRODUTOsistema
##edade	B-PRODUTOsistema	I-PRODUTOsistema
da	O	I-ORGpartido
Agricultura	B-ORGpartido	I-ORGpartido
da	O	I-ORGpartido
Agricultura	B-ORGpartido	I-ORGpartido
produtores	O	B-PESSOAindividual
rurais	O	I-PESSOAindividual
