word	true_class	pred_class
para	I-OBRA	I-ABSTRACCAO
a	I-OBRA	I-ABSTRACCAO
Paz	I-OBRA	I-ABSTRACCAO
Ren	B-LOCAL	B-ORGANIZACAO
##ânia	B-LOCAL	B-ORGANIZACAO
-	B-LOCAL	I-PESSOA
Pala	B-LOCAL	I-PESSOA
##tina	B-LOCAL	B-ORGANIZACAO
##do	B-LOCAL	I-PESSOA
Torre	B-OBRA	B-LOCAL
E	I-OBRA	I-COISA
##iff	I-OBRA	I-COISA
##el	I-OBRA	I-COISA
Nice	B-LOCAL	B-PESSOA
?	I-PESSOA	O
EC	B-COISA	O
##U	B-COISA	O
Estados	B-ORGANIZACAO	B-PESSOA
Unidos	I-ORGANIZACAO	I-PESSOA
Dun	B-LOCAL	B-PESSOA
##querque	B-LOCAL	B-PESSOA
hora	O	I-TEMPO
I	B-PESSOA	B-ORGANIZACAO
##RA	B-PESSOA	B-ORGANIZACAO
Chin	B-COISA	O
##o	B-COISA	O
##ok	B-COISA	O
K	B-ABSTRACCAO	O
##MT	B-ABSTRACCAO	O
presidente	O	B-PESSOA
Claude	B-PESSOA	I-PESSOA
N	B-ABSTRACCAO	O
##L	B-ABSTRACCAO	O
##W	B-ABSTRACCAO	O
UN	B-ABSTRACCAO	B-ORGANIZACAO
##HC	B-ABSTRACCAO	B-ORGANIZACAO
##R	B-ABSTRACCAO	B-ORGANIZACAO
Canadá	B-ORGANIZACAO	B-LOCAL
do	O	B-TEMPO
ano	O	I-TEMPO
Baixos	I-LOCAL	I-ORGANIZACAO
General	O	B-ORGANIZACAO
##ita	O	B-ORGANIZACAO
##t	O	B-ORGANIZACAO
Ia	O	B-ORGANIZACAO
##af	O	B-ORGANIZACAO
Margar	B-ACONTECIMENTO	O
##ita	B-ACONTECIMENTO	B-PESSOA
e	I-ACONTECIMENTO	O
o	I-ACONTECIMENTO	O
Mestre	I-ACONTECIMENTO	I-ABSTRACCAO
Ban	B-LOCAL	B-ORGANIZACAO
##at	B-LOCAL	B-ORGANIZACAO
Ab	B-PESSOA	B-OUTRO
7	B-COISA	I-COISA
Am	B-LOCAL	B-ORGANIZACAO
##ien	B-LOCAL	B-ORGANIZACAO
##s	B-LOCAL	B-ORGANIZACAO
durante	O	B-TEMPO
a	O	I-TEMPO
Idade	B-OUTRO	I-TEMPO
Média	I-OUTRO	I-ACONTECIMENTO
Ce	B-LOCAL	B-ABSTRACCAO
##ilão	B-LOCAL	B-ABSTRACCAO
Itália	B-ACONTECIMENTO	B-PESSOA
-	B-ACONTECIMENTO	B-PESSOA
Nigéria	B-ACONTECIMENTO	I-PESSOA
Nigéria	B-PESSOA	B-LOCAL
prefeito	O	B-PESSOA
Od	B-PESSOA	I-PESSOA
##ori	B-PESSOA	I-PESSOA
##co	B-PESSOA	I-PESSOA
Tou	B-COISA	B-PESSOA
##ta	B-COISA	B-PESSOA
##tis	B-COISA	B-PESSOA
O	B-OBRA	B-PESSOA
Capital	I-OBRA	I-PESSOA
Her	B-OUTRO	B-PESSOA
##ói	B-OUTRO	B-PESSOA
da	I-OUTRO	I-PESSOA
União	I-OUTRO	I-PESSOA
Soviética	I-OUTRO	I-PESSOA
Her	O	B-PESSOA
##ói	O	B-PESSOA
Sp	B-COISA	B-PESSOA
##irou	B-COISA	B-PESSOA
Ves	B-LOCAL	B-COISA
##ú	B-LOCAL	B-COISA
##vio	B-LOCAL	B-COISA
Ku	B-ABSTRACCAO	B-PESSOA
##du	B-ABSTRACCAO	B-PESSOA
##ro	B-ABSTRACCAO	B-PESSOA
Angola	O	B-PESSOA
##no	O	B-PESSOA
##ro	B-ABSTRACCAO	O
Bu	B-ABSTRACCAO	O
##nda	B-ABSTRACCAO	O
Ku	B-ABSTRACCAO	B-LOCAL
##du	B-ABSTRACCAO	B-LOCAL
##ro	B-ABSTRACCAO	B-LOCAL
desde	O	B-TEMPO
o	O	I-TEMPO
Ku	B-ABSTRACCAO	B-COISA
##du	B-ABSTRACCAO	B-COISA
##ro	B-ABSTRACCAO	B-COISA
outrora	B-TEMPO	O
Ku	O	B-PESSOA
##du	O	B-PESSOA
##ro	O	B-PESSOA
Che	O	I-PESSOA
##ck	O	I-PESSOA
##up	O	I-PESSOA
##s	B-TEMPO	I-TEMPO
Miguel	I-LOCAL	I-PESSOA
Ku	B-ABSTRACCAO	B-COISA
##du	B-ABSTRACCAO	B-COISA
##ro	B-ABSTRACCAO	B-COISA
Mo	B-OUTRO	B-PESSOA
##cin	B-OUTRO	B-PESSOA
