word	true_class	pred_class
A	O	B-JURISPRUDENCIA
##DI	O	B-JURISPRUDENCIA
Ação	O	B-JURISPRUDENCIA
Dire	O	I-JURISPRUDENCIA
##ta	O	I-JURISPRUDENCIA
de	O	I-JURISPRUDENCIA
Inc	O	I-JURISPRUDENCIA
##ons	O	I-JURISPRUDENCIA
##titu	O	I-JURISPRUDENCIA
##cional	O	I-JURISPRUDENCIA
##idade	O	I-JURISPRUDENCIA
N	O	I-JURISPRUDENCIA
.	O	I-JURISPRUDENCIA
E	O	I-ORGANIZACAO
T	O	I-ORGANIZACAO
##ER	O	I-ORGANIZACAO
##RI	O	I-ORGANIZACAO
##T	O	I-ORGANIZACAO
##Ó	O	I-ORGANIZACAO
##RI	O	I-ORGANIZACAO
##OS	O	I-ORGANIZACAO
e	O	I-ORGANIZACAO
dos	O	I-ORGANIZACAO
Território	O	I-ORGANIZACAO
##s	O	I-ORGANIZACAO
##ER	B-PESSOA	I-PESSOA
##BA	B-PESSOA	I-PESSOA
E	O	I-LOCAL
T	O	I-LOCAL
##ER	O	I-LOCAL
##RI	O	I-LOCAL
##T	O	I-LOCAL
##Ó	O	I-ORGANIZACAO
##RI	O	I-LOCAL
##OS	O	I-LOCAL
RA	B-LOCAL	O
L	B-LEGISLACAO	I-LEGISLACAO
##O	B-LEGISLACAO	I-LEGISLACAO
##DF	B-LEGISLACAO	I-LEGISLACAO
Câmara	B-ORGANIZACAO	O
dist	I-ORGANIZACAO	O
##rital	I-ORGANIZACAO	O
Federal	I-LOCAL	I-ORGANIZACAO
E	O	I-LOCAL
T	O	I-ORGANIZACAO
##ER	O	I-ORGANIZACAO
##RI	O	I-LOCAL
##T	O	I-LOCAL
##Ó	O	I-ORGANIZACAO
##RI	O	I-ORGANIZACAO
##OS	O	I-LOCAL
RA	B-LOCAL	I-LOCAL
L	B-LEGISLACAO	I-LEGISLACAO
##O	B-LEGISLACAO	I-LEGISLACAO
##DF	B-LEGISLACAO	I-LEGISLACAO
Constituição	B-LEGISLACAO	O
Federação	B-ORGANIZACAO	O
brasileira	I-ORGANIZACAO	O
Federação	B-ORGANIZACAO	O
brasileira	I-ORGANIZACAO	O
art	O	B-LEGISLACAO
.	O	I-LEGISLACAO
10	O	I-LEGISLACAO
##3	O	I-LEGISLACAO
,	O	I-LEGISLACAO
item	O	I-LEGISLACAO
III	O	I-LEGISLACAO
,	O	I-LEGISLACAO
do	O	I-LEGISLACAO
Regimento	O	I-LEGISLACAO
Inter	O	I-LEGISLACAO
##no	O	I-LEGISLACAO
deste	O	I-LEGISLACAO
eg	O	I-LEGISLACAO
##ré	O	I-LEGISLACAO
##gio	O	I-LEGISLACAO
Tribunal	O	I-LEGISLACAO
de	O	I-LEGISLACAO
Justiça	O	I-LEGISLACAO
e	O	I-ORGANIZACAO
Território	O	I-ORGANIZACAO
##s	O	I-ORGANIZACAO
E	O	I-LOCAL
T	O	I-LOCAL
##ER	O	I-LOCAL
##RI	O	I-LOCAL
##T	O	I-LOCAL
##Ó	O	I-LOCAL
##RI	O	I-LOCAL
##OS	O	I-LOCAL
Zona	B-LOCAL	B-ORGANIZACAO
de	I-LOCAL	I-ORGANIZACAO
Ex	I-LOCAL	I-ORGANIZACAO
##pan	I-LOCAL	I-ORGANIZACAO
##são	I-LOCAL	I-ORGANIZACAO
Urb	I-LOCAL	I-ORGANIZACAO
##ana	I-LOCAL	I-ORGANIZACAO
do	I-LOCAL	O
Z	O	B-ORGANIZACAO
##E	O	B-ORGANIZACAO
##U	O	B-ORGANIZACAO
Zona	B-LOCAL	B-ORGANIZACAO
de	I-LOCAL	I-ORGANIZACAO
Ex	I-LOCAL	I-ORGANIZACAO
##pan	I-LOCAL	I-ORGANIZACAO
##são	I-LOCAL	I-ORGANIZACAO
Urb	I-LOCAL	I-ORGANIZACAO
##ana	I-LOCAL	I-ORGANIZACAO
1	I-LOCAL	O
do	I-LOCAL	O
Z	O	B-ORGANIZACAO
##E	O	B-ORGANIZACAO
##U	O	B-ORGANIZACAO
##enta	O	I-ORGANIZACAO
##mento	O	I-ORGANIZACAO
Pop	O	I-ORGANIZACAO
##ulação	O	I-ORGANIZACAO
de	O	I-ORGANIZACAO
Baixa	O	I-ORGANIZACAO
Ren	O	I-ORGANIZACAO
##da	O	I-ORGANIZACAO
Zona	B-LOCAL	B-ORGANIZACAO
de	I-LOCAL	I-ORGANIZACAO
Ex	I-LOCAL	I-ORGANIZACAO
##pan	I-LOCAL	I-ORGANIZACAO
##são	I-LOCAL	I-ORGANIZACAO
Urb	I-LOCAL	I-ORGANIZACAO
