word	true_class	pred_class
tons	O	B-CARACTERISTICA_SENSORIAL_COR
de	O	B-CARACTERISTICA_SENSORIAL_COR
vermelho	O	B-CARACTERISTICA_SENSORIAL_COR
Ba	O	B-NOME_BEBIDA
##bu	O	B-NOME_BEBIDA
##A	I-NOME_BEBIDA	B-CLASSIFICACAO_BEBIDA
%	I-GRADUACAO-ALCOOLICA	B-GRADUACAO-ALCOOLICA
Uma	B-NOME_BEBIDA	O
##s	B-NOME_BEBIDA	O
e	I-NOME_BEBIDA	O
Outras	I-NOME_BEBIDA	O
Uma	B-NOME_BEBIDA	O
##s	B-NOME_BEBIDA	O
e	I-NOME_BEBIDA	O
Outras	I-NOME_BEBIDA	O
Sp	B-NOME_ORGANIZACAO	O
##irit	B-NOME_ORGANIZACAO	O
##s	B-NOME_ORGANIZACAO	O
Sele	I-NOME_ORGANIZACAO	O
##ction	I-NOME_ORGANIZACAO	O
Sp	B-NOME_ORGANIZACAO	O
##irit	B-NOME_ORGANIZACAO	O
##s	B-NOME_ORGANIZACAO	O
Sele	I-NOME_ORGANIZACAO	O
##ction	I-NOME_ORGANIZACAO	O
verdes	I-CARACTERISTICA_SENSORIAL_COR	B-CARACTERISTICA_SENSORIAL_COR
frutas	B-CARACTERISTICA_SENSORIAL_SABOR	B-CARACTERISTICA_SENSORIAL_AROMA
vermelhas	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
cara	B-CARACTERISTICA_SENSORIAL_SABOR	B-CARACTERISTICA_SENSORIAL_AROMA
##melo	B-CARACTERISTICA_SENSORIAL_SABOR	B-CARACTERISTICA_SENSORIAL_AROMA
doce	B-CARACTERISTICA_SENSORIAL_SABOR	B-CARACTERISTICA_SENSORIAL_AROMA
de	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
leite	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
er	B-CARACTERISTICA_SENSORIAL_SABOR	B-CARACTERISTICA_SENSORIAL_AROMA
##vas	B-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
medicina	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
##is	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
branca	O	B-CLASSIFICACAO_BEBIDA
notas	B-CARACTERISTICA_SENSORIAL_SABOR	B-CARACTERISTICA_SENSORIAL_AROMA
cí	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
##trica	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
##s	I-CARACTERISTICA_SENSORIAL_SABOR	I-CARACTERISTICA_SENSORIAL_AROMA
norte	B-NOME_LOCAL	O
de	I-NOME_LOCAL	O
Form	I-NOME_LOCAL	B-NOME_LOCAL
##osa	I-NOME_LOCAL	B-NOME_LOCAL
Extre	O	I-NOME_LOCAL
##ma	O	I-NOME_LOCAL
”	O	I-NOME_LOCAL
Ca	B-NOME_BEBIDA	O
##ial	B-NOME_BEBIDA	O
##ua	B-NOME_BEBIDA	O
suave	B-CARACTERISTICA_SENSORIAL_SABOR	O
incon	B-CARACTERISTICA_SENSORIAL_AROMA	O
##fund	B-CARACTERISTICA_SENSORIAL_AROMA	O
##ível	B-CARACTERISTICA_SENSORIAL_AROMA	O
Black	O	B-CLASSIFICACAO_BEBIDA
Van	O	B-NOME_PESSOA
##der	O	B-NOME_PESSOA
##ley	O	B-NOME_PESSOA
Azevedo	O	I-NOME_PESSOA
15	B-TEMPO	B-TEMPO_ARMAZENAMENTO
dias	I-TEMPO	I-TEMPO_ARMAZENAMENTO
Rob	B-CARACTERISTICA_SENSORIAL_CONSISTÊNCIA	O
