word	true_class	pred_class
##idade	B-ABSTRACCAO	O
##idade	B-ABSTRACCAO	O
Programa	B-OBRA	O
de	I-OBRA	O
Tre	I-OBRA	I-ACONTECIMENTO
##inamento	I-OBRA	I-ACONTECIMENTO
e	I-OBRA	I-ACONTECIMENTO
Desenvolvimento	I-OBRA	I-ACONTECIMENTO
90	B-VALOR	O
Educa	B-ABSTRACCAO	I-ABSTRACCAO
##cional	B-ABSTRACCAO	I-ABSTRACCAO
Organ	B-ABSTRACCAO	I-ABSTRACCAO
##iza	B-ABSTRACCAO	I-ABSTRACCAO
##cional	B-ABSTRACCAO	I-ABSTRACCAO
2003	B-TEMPO	O
##quem	O	B-ABSTRACCAO
Ima	O	B-ABSTRACCAO
##gem	O	B-ABSTRACCAO
T	O	B-ABSTRACCAO
	O	B-PESSOA
de	O	I-PESSOA
##om	O	B-ABSTRACCAO
03	B-OUTRO	O
##3	B-OUTRO	B-VALOR
,	B-VALOR	I-VALOR
00	B-VALOR	I-VALOR
19	I-TEMPO	B-TEMPO
Rua	B-LOCAL	O
Programa	B-OBRA	B-ACONTECIMENTO
de	I-OBRA	I-ACONTECIMENTO
Tre	I-OBRA	I-ACONTECIMENTO
##inamento	I-OBRA	I-ACONTECIMENTO
e	I-OBRA	I-ACONTECIMENTO
Desenvolvimento	I-OBRA	I-ACONTECIMENTO
PR	O	B-LOCAL
##É	O	B-LOCAL
Cannes	B-ACONTECIMENTO	B-LOCAL
cerca	B-VALOR	O
de	I-VALOR	O
20	I-VALOR	B-VALOR
Palma	B-OUTRO	O
cerca	B-VALOR	O
de	I-VALOR	O
170	I-VALOR	B-VALOR
ex	B-LOCAL	O
-	B-LOCAL	O
The	B-ACONTECIMENTO	B-LOCAL
Lo	I-ACONTECIMENTO	I-LOCAL
##ok	I-ACONTECIMENTO	I-LOCAL
of	I-ACONTECIMENTO	I-LOCAL
the	I-ACONTECIMENTO	I-LOCAL
Year	I-ACONTECIMENTO	I-LOCAL
30	I-VALOR	B-VALOR
Girl	I-ORGANIZACAO	B-ORGANIZACAO
Simpson	B-OUTRO	B-PESSOA
J	I-PESSOA	B-PESSOA
.	I-PESSOA	B-PESSOA
J	I-PESSOA	B-PESSOA
.	I-PESSOA	B-PESSOA
Brad	B-LOCAL	B-ORGANIZACAO
##hu	B-LOCAL	B-ORGANIZACAO
##rs	B-LOCAL	B-ORGANIZACAO
##t	B-LOCAL	B-ORGANIZACAO
The	I-LOCAL	I-ORGANIZACAO
##ater	I-LOCAL	B-ORGANIZACAO
Merc	B-OBRA	B-PESSOA
##ede	B-OBRA	B-PESSOA
##z	B-OBRA	B-PESSOA
El	B-LOCAL	B-ORGANIZACAO
##le	B-LOCAL	B-ORGANIZACAO
chin	O	I-PESSOA
Brasil	B-ABSTRACCAO	B-ORGANIZACAO
Sydney	B-LOCAL	B-ACONTECIMENTO
da	O	I-LOCAL
cidade	O	I-LOCAL
Trans	B-ACONTECIMENTO	O
##forma	B-ACONTECIMENTO	O
##ndo	B-ACONTECIMENTO	O
sonhos	I-ACONTECIMENTO	O
em	I-ACONTECIMENTO	O
medalhas	I-ACONTECIMENTO	O
Jornal	B-OBRA	B-LOCAL
Alv	I-OBRA	O
##ora	I-OBRA	I-ORGANIZACAO
##da	I-OBRA	I-LOCAL
Concelho	O	B-LOCAL
Lou	I-LOCAL	I-ORGANIZACAO
##rin	I-LOCAL	I-ORGANIZACAO
##hã	I-LOCAL	I-ORGANIZACAO
Lou	O	B-PESSOA
##rinha	O	B-PESSOA
##ne	O	B-PESSOA
##nse	O	B-PESSOA
##AC	B-ABSTRACCAO	B-ORGANIZACAO
das	O	I-ORGANIZACAO
Caldas	B-LOCAL	I-ORGANIZACAO
da	I-LOCAL	I-ORGANIZACAO
Rainha	I-LOCAL	I-ORGANIZACAO
,	B-TEMPO	O
-	I-ORGANIZACAO	O
Tecnologia	I-ORGANIZACAO	O
##s	I-ORGANIZACAO	O
de	I-ORGANIZACAO	I-ABSTRACCAO
Informação	I-ORGANIZACAO	I-ABSTRACCAO
,	I-ORGANIZACAO	O
L	I-ORGANIZACAO	O
##da	I-ORGANIZACAO	O
Guara	B-LOCAL	B-ACONTECIMENTO
##tiba	B-LOCAL	B-ACONTECIMENTO
Santo	B-ACONTECIMENTO	B-LOCAL
