=== MÉDIAS DOS 10 FOLDS ===

DATA: Precision=0.885, Recall=0.109, F1=0.187
EVENTO: Precision=0.000, Recall=0.000, F1=0.000
FUNDapelido: Precision=0.000, Recall=0.000, F1=0.000
FUNDlei: Precision=0.008, Recall=0.002, F1=0.004
FUNDprojetodelei: Precision=0.036, Recall=0.150, F1=0.053
LOCALconcreto: Precision=0.027, Recall=0.008, F1=0.013
LOCALvirtual: Precision=0.000, Recall=0.000, F1=0.000
ORGgovernamental: Precision=0.029, Recall=0.007, F1=0.012
ORGnaogovernamental: Precision=0.000, Recall=0.000, F1=0.000
ORGpartido: Precision=0.000, Recall=0.000, F1=0.000
PESSOAcargo: Precision=0.050, Recall=0.010, F1=0.017
PESSOAgrupocargo: Precision=0.000, Recall=0.000, F1=0.000
PESSOAindividual: Precision=0.029, Recall=0.011, F1=0.016
PRODUTOoutros: Precision=0.000, Recall=0.000, F1=0.000
PRODUTOprograma: Precision=0.000, Recall=0.000, F1=0.000
PRODUTOsistema: Precision=0.000, Recall=0.000, F1=0.000

Macro Average:
Precision=0.067, Recall=0.019, F1=0.019

Micro Average:
Precision=0.262, Recall=0.024, F1=0.043
