=== MÉDIAS DOS FOLDS ===

DATA: Precision=0.961, Recall=0.967, F1=0.964
EVENTO: Precision=0.407, Recall=0.266, F1=0.286
FUNDapelido: Precision=0.891, Recall=0.921, F1=0.902
FUNDlei: Precision=0.944, Recall=0.962, F1=0.953
FUNDprojetodelei: Precision=0.500, Recall=0.667, F1=0.556
LOCALconcreto: Precision=0.889, Recall=0.915, F1=0.901
LOCALvirtual: Precision=0.598, Recall=0.530, F1=0.550
ORGgovernamental: Precision=0.856, Recall=0.887, F1=0.868
ORGnaogovernamental: Precision=0.763, Recall=0.754, F1=0.727
ORGpartido: Precision=0.789, Recall=0.867, F1=0.817
PESSOAcargo: Precision=0.926, Recall=0.927, F1=0.922
PESSOAgrupocargo: Precision=0.763, Recall=0.750, F1=0.752
PESSOAindividual: Precision=0.977, Recall=0.992, F1=0.984
PRODUTOoutros: Precision=0.689, Recall=0.717, F1=0.697
PRODUTOprograma: Precision=0.629, Recall=0.593, F1=0.598
PRODUTOsistema: Precision=0.667, Recall=0.537, F1=0.574

Macro Avg:
Precision=0.766, Recall=0.766, F1=0.753

Micro Avg:
Precision=0.897, Recall=0.892, F1=0.895
