=== MÉDIAS DOS 10 FOLDS ===

NOME_BEBIDA: Precision=0.475, Recall=0.072, F1=0.125
GRADUACAO_ALCOOLICA: Precision=0.132, Recall=0.028, F1=0.046
EQUIPAMENTO_DESTILACAO: Precision=0.000, Recall=0.000, F1=0.000
TEMPO_ARMAZENAMENTO: Precision=0.099, Recall=0.023, F1=0.038
RECIPIENTE_ARMAZENAMENTO: Precision=0.036, Recall=0.011, F1=0.017
TIPO_MADEIRA: Precision=0.100, Recall=0.000, F1=0.001
CARACTERISTICA_SENSORIAL_COR: Precision=0.000, Recall=0.000, F1=0.000
CARACTERISTICA_SENSORIAL_AROMA: Precision=0.000, Recall=0.000, F1=0.000
CARACTERISTICA_SENSORIAL_SABOR: Precision=0.000, Recall=0.000, F1=0.000
CARACTERISTICA_SENSORIAL_CONSISTÊNCIA: Precision=0.000, Recall=0.000, F1=0.000
NOME_PESSOA: Precision=0.000, Recall=0.000, F1=0.000
NOME_LOCAL: Precision=0.000, Recall=0.000, F1=0.000
NOME_ORGANIZACAO: Precision=0.000, Recall=0.000, F1=0.000
TEMPO: Precision=0.000, Recall=0.000, F1=0.000
PRECO: Precision=0.000, Recall=0.000, F1=0.000
VOLUME: Precision=0.422, Recall=0.038, F1=0.069
CLASSIFICACAO_BEBIDA: Precision=0.565, Recall=0.086, F1=0.145

Macro Average:
Precision=0.108, Recall=0.015, F1=0.026

Micro Average:
Precision=0.298, Recall=0.025, F1=0.046
