=== MÉDIAS DOS 10 FOLDS ===

NOME_BEBIDA: Precision=0.800, Recall=0.353, F1=0.490
GRADUACAO_ALCOOLICA: Precision=0.945, Recall=0.663, F1=0.778
EQUIPAMENTO_DESTILACAO: Precision=0.789, Recall=0.161, F1=0.266
TEMPO_ARMAZENAMENTO: Precision=0.987, Recall=0.355, F1=0.521
RECIPIENTE_ARMAZENAMENTO: Precision=0.719, Recall=0.098, F1=0.171
TIPO_MADEIRA: Precision=0.875, Recall=0.189, F1=0.310
CARACTERISTICA_SENSORIAL_COR: Precision=0.937, Recall=0.273, F1=0.418
CARACTERISTICA_SENSORIAL_AROMA: Precision=0.567, Recall=0.150, F1=0.235
CARACTERISTICA_SENSORIAL_SABOR: Precision=0.658, Recall=0.230, F1=0.340
CARACTERISTICA_SENSORIAL_CONSISTÊNCIA: Precision=0.682, Recall=0.199, F1=0.300
NOME_PESSOA: Precision=0.792, Recall=0.213, F1=0.331
NOME_LOCAL: Precision=0.974, Recall=0.339, F1=0.502
NOME_ORGANIZACAO: Precision=0.816, Recall=0.245, F1=0.376
TEMPO: Precision=0.866, Recall=0.126, F1=0.219
PRECO: Precision=0.938, Recall=0.886, F1=0.911
VOLUME: Precision=0.993, Recall=0.614, F1=0.758
CLASSIFICACAO_BEBIDA: Precision=0.708, Recall=0.135, F1=0.225

Macro Average:
Precision=0.826, Recall=0.308, F1=0.421

Micro Average:
Precision=0.894, Recall=0.349, F1=0.502
