
====== FOLD 0 ======
Relatório por label:
- LOCAL: precision=1.000, recall=0.083, f1-score=0.154
- ORGANIZACAO: precision=0.000, recall=0.000, f1-score=0.000
- PESSOA: precision=1.000, recall=0.071, f1-score=0.133
- TEMPO: precision=0.000, recall=0.000, f1-score=0.000
- ABSTRACAO: precision=0.000, recall=0.000, f1-score=0.000
- ACONTECIMENTO: precision=0.000, recall=0.000, f1-score=0.000
- COISA: precision=0.000, recall=0.000, f1-score=0.000
- OBRA: precision=0.000, recall=0.000, f1-score=0.000
- OUTRO: precision=0.000, recall=0.000, f1-score=0.000
- VALOR: precision=0.000, recall=0.000, f1-score=0.000

Macro Avg: precision=0.200, recall=0.015, f1-score=0.029
Micro Avg: precision=1.000, recall=0.024, f1-score=0.047
==================================================
