=== MÉDIAS DOS 10 FOLDS ===

DATA: Precision=0.886, Recall=0.219, F1=0.350
EVENTO: Precision=0.300, Recall=0.114, F1=0.158
FUNDapelido: Precision=0.083, Recall=0.046, F1=0.052
FUNDlei: Precision=0.533, Recall=0.032, F1=0.060
FUNDprojetodelei: Precision=0.000, Recall=0.000, F1=0.000
LOCALconcreto: Precision=0.430, Recall=0.190, F1=0.258
LOCALvirtual: Precision=0.000, Recall=0.000, F1=0.000
ORGgovernamental: Precision=0.763, Recall=0.124, F1=0.211
ORGnaogovernamental: Precision=0.742, Recall=0.199, F1=0.300
ORGpartido: Precision=0.400, Recall=0.134, F1=0.188
PESSOAcargo: Precision=0.900, Recall=0.161, F1=0.266
PESSOAgrupocargo: Precision=0.100, Recall=0.010, F1=0.018
PESSOAindividual: Precision=0.976, Recall=0.189, F1=0.309
PRODUTOoutros: Precision=0.233, Recall=0.014, F1=0.027
PRODUTOprograma: Precision=0.075, Recall=0.118, F1=0.072
PRODUTOsistema: Precision=0.250, Recall=0.167, F1=0.190

Macro Average:
Precision=0.417, Recall=0.107, F1=0.154

Micro Average:
Precision=0.328, Recall=0.127, F1=0.172
