=== MÉDIAS DOS 10 FOLDS ===

DATA: Precision=0.972, Recall=0.971, F1=0.972
EVENTO: Precision=0.333, Recall=0.333, F1=0.333
FUNDapelido: Precision=0.858, Recall=0.905, F1=0.871
FUNDlei: Precision=0.971, Recall=0.935, F1=0.953
FUNDprojetodelei: Precision=0.333, Recall=0.167, F1=0.222
LOCALconcreto: Precision=0.959, Recall=0.878, F1=0.914
LOCALvirtual: Precision=0.422, Recall=0.667, F1=0.426
ORGgovernamental: Precision=0.797, Recall=0.906, F1=0.845
ORGnaogovernamental: Precision=0.798, Recall=0.782, F1=0.781
ORGpartido: Precision=0.722, Recall=0.889, F1=0.778
PESSOAcargo: Precision=0.957, Recall=0.846, F1=0.895
PESSOAgrupocargo: Precision=0.828, Recall=0.688, F1=0.751
PESSOAindividual: Precision=0.966, Recall=0.983, F1=0.974
PRODUTOoutros: Precision=0.535, Recall=0.685, F1=0.591
PRODUTOprograma: Precision=0.889, Recall=0.522, F1=0.635
PRODUTOsistema: Precision=0.667, Recall=0.667, F1=0.667

Macro Avg:
Precision=0.750, Recall=0.739, F1=0.725

Micro Avg:
Precision=0.876, Recall=0.874, F1=0.875
