=== MÉDIAS DOS FOLDS ===

DATA: Precision=0.971, Recall=0.967, F1=0.969
EVENTO: Precision=0.611, Recall=0.349, F1=0.417
FUNDapelido: Precision=0.879, Recall=0.902, F1=0.884
FUNDlei: Precision=0.954, Recall=0.950, F1=0.951
FUNDprojetodelei: Precision=0.333, Recall=0.500, F1=0.389
LOCALconcreto: Precision=0.902, Recall=0.904, F1=0.901
LOCALvirtual: Precision=0.685, Recall=0.526, F1=0.556
ORGgovernamental: Precision=0.881, Recall=0.882, F1=0.878
ORGnaogovernamental: Precision=0.725, Recall=0.649, F1=0.661
ORGpartido: Precision=0.806, Recall=0.836, F1=0.817
PESSOAcargo: Precision=0.922, Recall=0.886, F1=0.901
PESSOAgrupocargo: Precision=0.792, Recall=0.767, F1=0.775
PESSOAindividual: Precision=0.972, Recall=0.987, F1=0.979
PRODUTOoutros: Precision=0.660, Recall=0.707, F1=0.676
PRODUTOprograma: Precision=0.670, Recall=0.702, F1=0.640
PRODUTOsistema: Precision=0.778, Recall=0.704, F1=0.733

Macro Avg:
Precision=0.784, Recall=0.764, F1=0.758

Micro Avg:
Precision=0.899, Recall=0.885, F1=0.892
