=== MÉDIAS DOS 10 FOLDS ===

NOME_BEBIDA: Precision=0.975, Recall=0.971, F1=0.973
GRADUACAO_ALCOOLICA: Precision=0.990, Recall=0.981, F1=0.985
EQUIPAMENTO_DESTILACAO: Precision=0.862, Recall=0.837, F1=0.848
TEMPO_ARMAZENAMENTO: Precision=0.983, Recall=0.986, F1=0.984
RECIPIENTE_ARMAZENAMENTO: Precision=0.983, Recall=0.959, F1=0.970
TIPO_MADEIRA: Precision=0.965, Recall=0.985, F1=0.975
CARACTERISTICA_SENSORIAL_COR: Precision=0.901, Recall=0.952, F1=0.925
CARACTERISTICA_SENSORIAL_AROMA: Precision=0.873, Recall=0.870, F1=0.870
CARACTERISTICA_SENSORIAL_SABOR: Precision=0.859, Recall=0.838, F1=0.848
CARACTERISTICA_SENSORIAL_CONSISTÊNCIA: Precision=0.903, Recall=0.885, F1=0.892
NOME_PESSOA: Precision=0.957, Recall=0.958, F1=0.957
NOME_LOCAL: Precision=0.988, Recall=0.971, F1=0.979
NOME_ORGANIZACAO: Precision=0.913, Recall=0.884, F1=0.898
TEMPO: Precision=0.992, Recall=0.975, F1=0.983
PRECO: Precision=0.944, Recall=1.000, F1=0.971
VOLUME: Precision=0.991, Recall=0.969, F1=0.980
CLASSIFICACAO_BEBIDA: Precision=0.907, Recall=0.891, F1=0.898

Macro Avg:
Precision=0.940, Recall=0.936, F1=0.938

Micro Avg:
Precision=0.961, Recall=0.956, F1=0.958
