
====== FOLD 0 ======
- LOCAL: Precision=0.935, Recall=0.784, F1=0.853
- ORGANIZACAO: Precision=0.962, Recall=0.806, F1=0.877
- PESSOA: Precision=0.778, Recall=0.778, F1=0.778
- TEMPO: Precision=1.000, Recall=0.812, F1=0.897
- ABSTRACAO: Precision=0.000, Recall=0.000, F1=0.000
- ACONTECIMENTO: Precision=1.000, Recall=0.500, F1=0.667
- COISA: Precision=0.333, Recall=0.125, F1=0.182
- OBRA: Precision=1.000, Recall=0.429, F1=0.600
- OUTRO: Precision=0.500, Recall=0.333, F1=0.400
- VALOR: Precision=0.900, Recall=0.783, F1=0.837

Macro Avg: Precision=0.741, Recall=0.535, F1=0.609
Micro Avg: Precision=0.889, Recall=0.727, F1=0.800
==================================================
