
====== FOLD 0 ======
- LOCAL: Precision=0.667, Recall=0.500, F1=0.571
- ORGANIZACAO: Precision=0.625, Recall=0.417, F1=0.500
- PESSOA: Precision=1.000, Recall=0.500, F1=0.667
- TEMPO: Precision=1.000, Recall=0.357, F1=0.526
- ABSTRACAO: Precision=0.000, Recall=0.000, F1=0.000
- ACONTECIMENTO: Precision=0.000, Recall=0.000, F1=0.000
- COISA: Precision=1.000, Recall=0.375, F1=0.545
- OBRA: Precision=0.500, Recall=0.222, F1=0.308
- OUTRO: Precision=0.000, Recall=0.000, F1=0.000
- VALOR: Precision=0.500, Recall=0.091, F1=0.154

Macro Avg: Precision=0.529, Recall=0.246, F1=0.327
Micro Avg: Precision=0.744, Recall=0.349, F1=0.475
==================================================
