=== MÉDIAS DOS 10 FOLDS ===

NOME_BEBIDA: Precision=0.974, Recall=0.972, F1=0.973
GRADUACAO_ALCOOLICA: Precision=0.984, Recall=0.985, F1=0.984
EQUIPAMENTO_DESTILACAO: Precision=0.912, Recall=0.873, F1=0.892
TEMPO_ARMAZENAMENTO: Precision=0.984, Recall=0.983, F1=0.983
RECIPIENTE_ARMAZENAMENTO: Precision=0.973, Recall=0.946, F1=0.959
TIPO_MADEIRA: Precision=0.968, Recall=0.979, F1=0.973
CARACTERISTICA_SENSORIAL_COR: Precision=0.951, Recall=0.953, F1=0.950
CARACTERISTICA_SENSORIAL_AROMA: Precision=0.912, Recall=0.879, F1=0.895
CARACTERISTICA_SENSORIAL_SABOR: Precision=0.875, Recall=0.883, F1=0.879
CARACTERISTICA_SENSORIAL_CONSISTÊNCIA: Precision=0.908, Recall=0.899, F1=0.903
NOME_PESSOA: Precision=0.948, Recall=0.962, F1=0.955
NOME_LOCAL: Precision=0.993, Recall=0.977, F1=0.985
NOME_ORGANIZACAO: Precision=0.915, Recall=0.903, F1=0.908
TEMPO: Precision=0.989, Recall=0.971, F1=0.980
PRECO: Precision=0.945, Recall=1.000, F1=0.972
VOLUME: Precision=0.992, Recall=0.972, F1=0.982
CLASSIFICACAO_BEBIDA: Precision=0.920, Recall=0.897, F1=0.908

Macro Avg:
Precision=0.950, Recall=0.943, F1=0.946

Micro Avg:
Precision=0.965, Recall=0.959, F1=0.962
