=== MÉDIAS DOS FOLDS ===

NOME_BEBIDA: Precision=0.973, Recall=0.976, F1=0.974
GRADUACAO_ALCOOLICA: Precision=0.980, Recall=0.985, F1=0.983
EQUIPAMENTO_DESTILACAO: Precision=0.949, Recall=0.901, F1=0.925
TEMPO_ARMAZENAMENTO: Precision=0.981, Recall=0.981, F1=0.981
RECIPIENTE_ARMAZENAMENTO: Precision=0.973, Recall=0.955, F1=0.964
TIPO_MADEIRA: Precision=0.974, Recall=0.976, F1=0.975
CARACTERISTICA_SENSORIAL_COR: Precision=0.941, Recall=0.943, F1=0.941
CARACTERISTICA_SENSORIAL_AROMA: Precision=0.905, Recall=0.868, F1=0.885
CARACTERISTICA_SENSORIAL_SABOR: Precision=0.858, Recall=0.875, F1=0.865
CARACTERISTICA_SENSORIAL_CONSISTÊNCIA: Precision=0.922, Recall=0.902, F1=0.911
NOME_PESSOA: Precision=0.956, Recall=0.937, F1=0.946
NOME_LOCAL: Precision=0.991, Recall=0.982, F1=0.986
NOME_ORGANIZACAO: Precision=0.911, Recall=0.905, F1=0.908
TEMPO: Precision=0.990, Recall=0.975, F1=0.982
PRECO: Precision=0.943, Recall=1.000, F1=0.971
VOLUME: Precision=0.993, Recall=0.970, F1=0.981
CLASSIFICACAO_BEBIDA: Precision=0.910, Recall=0.905, F1=0.907

Macro Avg:
Precision=0.950, Recall=0.943, F1=0.946

Micro Avg:
Precision=0.965, Recall=0.960, F1=0.962
