=== MÉDIAS DOS 10 FOLDS ===

DATA: Precision=0.965, Recall=0.956, F1=0.960
EVENTO: Precision=0.167, Recall=0.250, F1=0.200
FUNDapelido: Precision=0.889, Recall=0.931, F1=0.907
FUNDlei: Precision=0.985, Recall=0.972, F1=0.978
FUNDprojetodelei: Precision=0.875, Recall=0.875, F1=0.833
LOCALconcreto: Precision=0.905, Recall=0.910, F1=0.908
LOCALvirtual: Precision=0.387, Recall=0.625, F1=0.430
ORGgovernamental: Precision=0.826, Recall=0.899, F1=0.856
ORGnaogovernamental: Precision=0.705, Recall=0.666, F1=0.671
ORGpartido: Precision=0.812, Recall=1.000, F1=0.881
PESSOAcargo: Precision=0.968, Recall=0.861, F1=0.909
PESSOAgrupocargo: Precision=0.770, Recall=0.725, F1=0.740
PESSOAindividual: Precision=0.961, Recall=0.987, F1=0.974
PRODUTOoutros: Precision=0.550, Recall=0.581, F1=0.563
PRODUTOprograma: Precision=0.748, Recall=0.585, F1=0.645
PRODUTOsistema: Precision=0.250, Recall=0.250, F1=0.250

Macro Avg:
Precision=0.735, Recall=0.755, F1=0.732

Micro Avg:
Precision=0.883, Recall=0.877, F1=0.880
