Camilo	B-PESSOA
Castelo	I-PESSOA
Branco	I-PESSOA
Na	O
última	O
noite	O
do	O
Carnaval	B-TEMPO
,	O
que	O
foi	O
justamente	O
aos	O
8	B-VALOR
dias	I-VALOR
do	O
mês	O
de	O
Fevereiro	B-TEMPO
,	O
do	O
corrente	O
ano,	O
pelas	O
9	B-TEMPO
horas	I-TEMPO
e	I-TEMPO
meia	I-TEMPO
da	I-TEMPO
noite	I-TEMPO
entrava	O
no	O
Teatro	B-LOCAL
de	I-LOCAL
S.	I-LOCAL
João	I-LOCAL
,	O
desta	O
heróica	O
e	O
muito	O
nobre	O
e	O
sempre	O
leal	O
cidade,	O
um	O
dominó	O
de	O
cetim.	O
Dera	O
ele	O
os	O
dois	O
primeiros	O
passos	O
no	O
pavimento	O
da	O
plateia,	O
quando	O
um	O
outro	O
dominó	O
de	O
veludo	O
preto	O
veio	O
colocar-se-lhe	O
frente	O
a	O
frente,	O
numa	O
contemplação	O
imóvel.	O
O	O
primeiro	O
demorou-se	O
um	O
pouco	O
a	O
medir	O
as	O
alturas	O
do	O
seu	O
admirador,	O
e	O
virou-lhe	O
as	O
costas	O
com	O
indiferença	O
natural.	O
O	O
segundo,	O
momentos	O
depois,	O
aparecia	O
ao	O
lado	O
do	O
primeiro,	O
com	O
a	O
mesma	O
atenção,	O
com	O
a	O
mesma	O
penetração	O
de	O
vista.	O
Desta	O
vez	O
o	O
dominó-cetim	O
aventurou	O
uma	O
pergunta	O
naquele	O
desgracioso	O
falsete,	O
que	O
todos	O
nós	O
conhecemos	O
:	O
-	O
«	O
Não	O
quer	O
mais	O
do	O
que	O
isso	O
?	O
»	O
-	O
«	O
Do	O
qu’isso	O
!!	O
»	O
?	O
respondeu	O
uma	O
máscara	O
que	O
passava	O
por	O
casualidade,	O
esganiçando-se	O
numa	O
risada	O
que	O
raspava	O
o	O
tímpano.	O
?	O
«	O
Olha	O
do	O
qu’isso	O
!!	O
Já	O
vejo	O
que	O
és	O
pulha	O
!!	O
»	O
E	O
retirou-se	O
repetindo	O
?	O
«	O
Do	O
qu’isso!	O
do	O
qu’isso!	O
».	O
Ma	O
o	O
dominó-cetim	O
não	O
sofreu,	O
ao	O
que	O
parecia,	O
a	O
menor	O
contrariedade	O
com	O
esta	O
charivari.	O
E	O
o	O
dominó-veludo	O
nem	O
sequer	O
acompanhou	O
com	O
os	O
olhos	O
o	O
imprudente	O
que	O
viera	O
embaraçar-lhe	O
uma	O
resposta	O
digna	O
da	O
pergunta,	O
fosse	O
ela	O
qual	O
fosse.	O
O	O
cetim	O
(fique	O
assim	O
conhecido	O
para	O
evitarmos	O
palavras	O
e	O
tempo,	O
que	O
é	O
um	O
preciosíssimo	O
cabedal),	O
o	O
cetim,	O
desta	O
vez,	O
encarou	O
com	O
mais	O
alguma	O
reflexão	O
o	O
veludo.	O
Conjecturou	O
suposições	O
fugitivas,	O
que	O
se	O
destruíam	O
mutuamente.	O
O	O
veludo	O
era	O
forçosamente	O
uma	O
mulher.	O
A	O
pequenez	O
do	O
corpo,	O
cuja	O
flexibilidade	O
o	O
dominó	O
não	O
encobria	O
;	O
a	O
delicadeza	O
da	O
mão,	O
que	O
protestava	O
contra	O
o	O
ardil	O
mentiroso	O
de	O
uma	O
luva	O
larga	O
;	O
a	O
ponta	O
de	O
verniz,	O
que	O
um	O
descuido,	O
no	O
lançar	O
do	O
pé,	O
denunciara	O
debaixo	O
da	O
fímbria	O
do	O
veludo,	O
este	O
complexo	O
de	O
atributos,	O
quase	O
nunca	O
reunidos	O
em	O
um	O
homem,	O
captaram	O
as	O
sérias	O
atenções	O
do	O
outro,	O
que,	O
incontestavelmente,	O
era	O
um	O
homem.	O

-	O
«	O
Quem	O
quer	O
que	O
sejas	O
»	O
?	O
disse	O
o	O
cetim	O
?	O
«	O
não	O
te	O
gabo	O
o	O
gosto	O
!	O
Tomara	O
eu	O
saber	O
o	O
que	O
vês	O
em	O
mim,	O
que	O
tanta	O
impressão	O
te	O
faz	O
!	O
»	O
-	O
«	O
Nada	O
»	O
?	O
respondeu	O
o	O
veludo.	O
-	O
«	O
Então,	O
deixa-me,	O
ou	O
diz-me	O
alguma	O
coisa	O
ainda	O
que	O
seja	O
uma	O
sensaboria,	O
mais	O
eloquente	O
que	O
o	O
teu	O
silêncio.	O
»	O
-	O
«	O
Não	O
te	O
quero	O
embrutecer.	O
Sei	O
que	O
tens	O
muito	O
espírito,	O
e	O
seria	O
um	O
crime	O
de	O
lesa-Carnaval	B-OUTRO
se	O
te	O
dissesse	O
alguma	O
dessas	O
graças	O
salobras,	O
capazes	O
de	O
fazer	O
calar	O
para	O
todo	O
o	O
sempre	O
um	O
Demóstenes	B-ABSTRACCAO
de	O
dominó.	O
O	O
cetim	O
mudou	O
de	O
opinião	O
a	O
respeito	O
do	O
seu	O
perseguidor.	O
E	O
não	O
admira	O
que	O
o	O
recebesse	O
com	O
rudeza	O
no	O
princípio,	O
porque,	O
em	O
Portugal	B-LOCAL
,	O
um	O
dominó	O
em	O
corpo	O
de	O
mulher,	O
que	O
passeia	O
«	O
sozinha	O
»	O
num	O
teatro,	O
permite	O
umas	O
suspeitas	O
que	O
não	O
abonam	O
as	O
virtudes	O
do	O
dominó,	O
nem	O
lisonjeiam	O
a	O
vaidade	O
de	O
quem	O
lhe	O
recebe	O
o	O
conhecimento.	O
Mas	O
a	O
mulher	O
em	O
quem	O
recai	O
semelhante	O
hipótese	O
não	O
conhece	O
Demóstenes	B-PESSOA
,	O
nem	O
diz	O
lesa-Carnaval	B-OUTRO
,	O
nem	O
aguça	O
a	O
frase	O
com	O
o	O
adjectivo	O
salobras.	O
O	O
cetim	O
arrependeu-se	O
da	O
aspereza	O
com	O
que	O
recebera	O
os	O
atenciosos	O
olhares	O
daquela	O
incógnita,	O
que	O
principiava	O
a	O
fazer-se	O
valer	O
como	O
tudo	O
aquilo	O
que	O
apenas	O
se	O
conhece	O
por	O
uma	O
face	O
boa.	O
O	O
cetim	O
juraria,	O
pelo	O
menos,	O
que	O
aquela	O
mulher	O
não	O
era	O
estúpida.	O
E,	O
seja	O
dito	O
sem	O
tenção	O
ofensiva,	O
já	O
não	O
era	O
insignificante	O
a	O
descoberta,	O
porque	O
é	O
mais	O
fácil	O
descobrir	O
um	O
mundo	O
novo	O
que	O
uma	O
mulher	O
ilustrada.	O
É	O
mais	O
fácil	O
ser	O
Cristóvão	B-PESSOA
Colombo	I-PESSOA
que	O
Emílio	B-PESSOA
