,Palavras,Rotulo,Sentenca,Inicio,Fim,Documento,Particao,Identificacao_Treino_Teste
0,NOME,O,130,0,4,12,1,treino
1,DA,O,130,5,7,12,1,treino
2,CACHAÇA,O,130,8,15,12,1,treino
3,:,O,130,15,16,12,1,treino
4,Porto,B-NOME_BEBIDA,130,17,22,12,1,treino
5,Estrela,I-NOME_BEBIDA,130,23,30,12,1,treino
6,Ouro,B-CLASSIFICACAO_BEBIDA,130,31,35,12,1,treino
7,1,B-VOLUME,130,36,37,12,1,treino
8,Litro,I-VOLUME,130,38,43,12,1,treino
9,PREÇO,O,131,0,5,12,1,treino
10,:,O,131,5,6,12,1,treino
11,R$,B-PRECO,131,7,9,12,1,treino
12,150,I-PRECO,131,10,13,12,1,treino
13,",",I-PRECO,131,13,14,12,1,treino
14,0,I-PRECO,131,14,16,12,1,treino
15,DESCRIÇÃO,O,132,0,9,12,1,treino
16,DA,O,132,10,12,12,1,treino
17,CACHAÇA,O,132,13,20,12,1,treino
18,:,O,132,20,21,12,1,treino
19,A,O,132,22,23,12,1,treino
20,Cachaça,O,132,24,31,12,1,treino
21,Porto,B-NOME_BEBIDA,132,32,37,12,1,treino
22,Estrela,I-NOME_BEBIDA,132,38,45,12,1,treino
23,é,O,132,46,47,12,1,treino
24,produzida,O,132,48,57,12,1,treino
25,na,O,132,58,60,12,1,treino
26,cidade,O,132,61,67,12,1,treino
27,de,O,132,68,70,12,1,treino
28,Pedras,B-NOME_LOCAL,132,71,77,12,1,treino
29,de,I-NOME_LOCAL,132,78,80,12,1,treino
30,Maria,I-NOME_LOCAL,132,81,86,12,1,treino
31,da,I-NOME_LOCAL,132,87,89,12,1,treino
32,Cruz,I-NOME_LOCAL,132,90,94,12,1,treino
33,",",O,132,95,96,12,1,treino
34,Minas,B-NOME_LOCAL,132,97,102,12,1,treino
35,Gerais,I-NOME_LOCAL,132,103,109,12,1,treino
36,",",O,132,109,110,12,1,treino
37,onde,O,132,111,115,12,1,treino
38,é,O,132,116,117,12,1,treino
39,engarrafada,O,132,118,129,12,1,treino
40,em,O,132,130,132,12,1,treino
41,vidro,O,132,133,138,12,1,treino
42,com,O,132,139,142,12,1,treino
43,tampa,O,132,143,148,12,1,treino
44,de,O,132,149,151,12,1,treino
45,rosca,O,132,152,157,12,1,treino
46,.,O,132,157,158,12,1,treino
47,Cachaça,O,133,0,7,12,1,treino
48,de,O,133,8,10,12,1,treino
49,grande,O,133,11,17,12,1,treino
50,suavidade,O,133,18,27,12,1,treino
51,.,O,133,27,28,12,1,treino
52,Envelhecida,O,134,0,11,12,1,treino
53,em,O,134,12,14,12,1,treino
54,tonéis,B-RECIPIENTE_ARMAZENAMENTO,134,15,21,12,1,treino
55,de,I-RECIPIENTE_ARMAZENAMENTO,134,22,24,12,1,treino
56,madeira,I-RECIPIENTE_ARMAZENAMENTO,134,25,32,12,1,treino
57,.,O,134,32,33,12,1,treino
58,Volume,O,135,0,6,12,1,treino
59,:,O,135,6,7,12,1,treino
60,1000ml,B-VOLUME,135,8,14,12,1,treino
61,Graduação,O,136,0,9,12,1,treino
62,Alcoólica,O,136,10,19,12,1,treino
63,:,O,136,19,20,12,1,treino
64,42%,B-GRADUACAO_ALCOOLICA,136,21,24,12,1,treino
65,RECIPIENTE,O,137,0,10,12,1,treino
66,DE,O,137,11,13,12,1,treino
67,ARMAZENAMENTO,O,137,14,27,12,1,treino
68,:,O,137,27,28,12,1,treino
69,Tipo,O,137,29,33,12,1,treino
70,Barril,O,137,34,40,12,1,treino
71,:,O,137,40,41,12,1,treino
72,Amburana,B-TIPO_MADEIRA,137,42,50,12,1,treino
73,e,O,137,51,52,12,1,treino
74,Carvalho,B-TIPO_MADEIRA,137,53,61,12,1,treino
75,Tipo,O,138,0,4,12,1,treino
76,:,O,138,4,5,12,1,treino
77,Envelhecida,O,138,6,17,12,1,treino
